,O_lon_old,O_lat_old,D_lon_old,D_lat_old,O_lon,O_lat,D_lon,D_lat,District,O_time_relative,is_O_adjusted,is_D_adjusted
0,-74.00884246826173,40.706809997558594,-74.01403045654298,40.712600708007805,-74.00884246826173,40.706809997558594,-74.01403045654298,40.712600708007805,1,1.0,False,False
1,-74.00908660888672,40.712528228759766,-74.00977325439453,40.72072982788086,-74.00908660888672,40.712528228759766,-74.00977325439453,40.72072982788086,1,6.0,False,False
2,-74.0159912109375,40.70650863647461,-73.98822784423827,40.76314926147461,-74.0159912109375,40.70650863647461,-74.0021905,40.7279861,1,27.0,False,True
3,-74.0162353515625,40.715030670166016,-73.96812438964845,40.75898361206056,-74.0162353515625,40.715030670166016,-73.9863339,40.7221638,1,36.0,False,True
4,-74.01030731201173,40.70970916748047,-73.99008178710938,40.71271896362305,-74.01030731201173,40.70970916748047,-73.99008178710938,40.71271896362305,1,50.0,False,False
5,-74.00846099853516,40.72087097167969,-74.00668334960938,40.73112869262695,-74.00846099853516,40.72087097167969,-74.002513,40.727601,1,57.0,False,True
6,-74.00975036621092,40.70497894287109,-73.98591613769531,40.73510360717773,-74.00975036621092,40.70497894287109,-73.989434,40.7231118,1,60.0,False,True
7,-74.009033203125,40.71364212036133,-73.97523498535155,40.76348114013672,-74.009033203125,40.71364212036133,-73.9879176,40.7226441,1,62.0,False,True
8,-74.01515960693358,40.71631240844727,-74.0102310180664,40.72145080566406,-74.01515960693358,40.71631240844727,-74.0102310180664,40.72145080566406,1,64.0,False,False
9,-74.00968170166014,40.70994567871094,-73.97308349609375,40.76409912109375,-74.00968170166014,40.70994567871094,-73.9863339,40.7221638,1,72.0,False,True
10,-74.00572967529298,40.725242614746094,-74.01409149169923,40.71419525146485,-74.00572967529298,40.725242614746094,-74.01409149169923,40.71419525146485,1,76.0,False,False
11,-74.00820922851561,40.704872131347656,-73.9661407470703,40.758010864257805,-74.00820922851561,40.704872131347656,-73.9863339,40.7221638,1,81.0,False,True
12,-74.0086212158203,40.71945190429688,-73.98951721191406,40.735889434814446,-74.0086212158203,40.71945190429688,-73.9934855,40.7243691,1,83.0,False,True
13,-74.01711273193358,40.709033966064446,-73.9706039428711,40.756622314453125,-74.01711273193358,40.709033966064446,-73.9863339,40.7221638,1,85.0,False,True
14,-74.00508880615233,40.71900939941406,-73.97869873046875,40.75276184082031,-74.00508880615233,40.71900939941406,-73.9879176,40.7226441,1,89.0,False,True
